county,state,policy_type,start_date,stop_date
Marin,CA,Shelter in Place,3/17/20,5/31/20
Santa Clara,CA,Shelter in Place,3/17/20,5/31/20
San Mateo,CA,Shelter in Place,3/17/20,5/31/20
Sarpy,NE,Shelter in Place,3/18/20,4/30/20
Cass,NE,Shelter in Place,3/18/20,4/30/20
Solano,CA,Shelter in Place,3/18/20,4/30/20
Monterey,CA,Shelter in Place,3/18/20,5/4/20
San Benito,CA,Shelter in Place,3/18/20,5/3/20
San Miguel,CO,Shelter in Place,3/19/20,5/1/20
Blaine,ID,Shelter in Place,3/19/20,
Merced,CA,Shelter in Place,3/20/20,
Humboldt,CA,Shelter in Place,3/20/20,
Amador,CA,Shelter in Place,3/20/20,4/30/20
Inyo,CA,Shelter in Place,3/20/20,
Placer,CA,Shelter in Place,3/20/20,5/1/20
Los Angeles,CA,Shelter in Place,3/21/20,
Cook,IL,Outdoor and Recreation,3/21/20,5/30/20
Cook,IL,Entertainment,3/21/20,5/30/20
Cook,IL,Food and Drink,3/21/20,5/30/20
San Joaquin,CA,Shelter in Place,3/21/20,
Val Verde,TX,Shelter in Place,3/23/20,5/5/20
Bell,TX,Shelter in Place,3/23/20,4/20/20
Dallas,TX,Shelter in Place,3/23/20,5/15/20
Pitkin,CO,Shelter in Place,3/23/20,4/30/20
St. Louis,MO,Shelter in Place,3/23/20,4/22/20
St. Louis city,MO,Shelter in Place,3/23/20,4/22/20
Delaware,PA,Shelter in Place,3/23/20,4/30/20
Chester,PA,Shelter in Place,3/23/20,4/30/20
District of Columbia,DC,Shelter in Place,3/23/20,6/8/20
Platte,MO,Shelter in Place,3/24/20,4/23/20
Leavenworth,KS,Shelter in Place,3/24/20,4/23/20
Carroll,GA,Shelter in Place,3/24/20,4/12/20
Tarrant,TX,Shelter in Place,3/24/20,4/30/20
Knox,TN,Shelter in Place,3/24/20,4/7/20
Clay,NC,Shelter in Place,3/24/20,4/24/20
Shelby,TN,Shelter in Place,3/24/20,4/7/20
Liberty,TX,Shelter in Place,3/24/20,4/30/20
Johnson,KS,Shelter in Place,3/24/20,4/23/20
Brazos,TX,Shelter in Place,3/24/20,4/21/20
Douglas,KS,Shelter in Place,3/24/20,4/23/20
Cass,MO,Shelter in Place,3/24/20,4/24/20
Pickens,GA,Shelter in Place,3/24/20,4/7/20
Erie,PA,Shelter in Place,3/25/20,4/6/20
Lehigh,PA,Shelter in Place,3/25/20,4/30/20
Marion,IN,Shelter in Place,3/25/20,5/15/20
Floyd,GA,Shelter in Place,3/25/20,4/7/20
Haines Borough,AK,Shelter in Place,3/25/20,4/15/20
Robertson,TX,Shelter in Place,3/25/20,4/30/20
Sedgwick,KS,Shelter in Place,3/25/20,
Navarro,TX,Shelter in Place,3/25/20,4/30/20
Dodge,NE,Shelter in Place,3/25/20,5/6/20
Cameron,TX,Shelter in Place,3/25/20,8/20/20
Washington,NE,Shelter in Place,3/25/20,5/6/20
Ray,MO,Shelter in Place,3/25/20,4/24/20
Skagway Municipality,AK,Shelter in Place,3/25/20,4/8/20
Erath,TX,Shelter in Place,3/25/20,4/30/20
Miami,KS,Shelter in Place,3/25/20,4/23/20
Fort Bend,TX,Shelter in Place,3/25/20,4/30/20
Decatur,GA,Shelter in Place,3/25/20,4/7/20
Atchison,KS,Shelter in Place,3/25/20,4/25/20
Morris,KS,Shelter in Place,3/25/20,4/25/20
Burnet,TX,Shelter in Place,3/25/20,4/2/20
Shawnee,KS,Shelter in Place,3/26/20,
Willacy,TX,Shelter in Place,3/26/20,5/4/20
Jefferson,CO,Shelter in Place,3/26/20,3/26/20
Hidalgo,TX,Shelter in Place,3/26/20,4/30/20
Arapahoe,CO,Shelter in Place,3/26/20,3/26/20
Douglas,CO,Shelter in Place,3/26/20,3/26/20
Boulder,CO,Shelter in Place,3/26/20,3/26/20
Coffey,KS,Shelter in Place,3/26/20,
Nueces,TX,Shelter in Place,3/26/20,4/30/20
Webster,MO,Shelter in Place,3/26/20,4/24/20
Hardin,TX,Shelter in Place,3/27/20,5/1/20
Orange,NC,Shelter in Place,3/27/20,4/30/20
Guilford,NC,Shelter in Place,3/27/20,4/16/20
York,PA,Shelter in Place,3/27/20,4/30/20
Wayne,PA,Shelter in Place,3/27/20,4/30/20
Gaston,NC,Shelter in Place,3/27/20,4/16/20
Butler,PA,Shelter in Place,3/27/20,4/30/20
Buncombe,NC,Shelter in Place,3/27/20,4/9/20
Kleberg,TX,Shelter in Place,3/27/20,4/30/20
Berks,PA,Shelter in Place,3/27/20,4/30/20
Smith,TX,Shelter in Place,3/27/20,4/30/20
Caldwell,MO,Shelter in Place,3/27/20,
Sumner,KS,Shelter in Place,3/27/20,4/25/20
Seward,NE,Shelter in Place,3/28/20,5/6/20
Bee,TX,Shelter in Place,3/28/20,4/30/20
Rutherford,NC,Shelter in Place,3/28/20,4/17/20
Jasper,TX,Shelter in Place,3/28/20,5/10/20
Butler,NE,Shelter in Place,3/28/20,5/6/20
Rooks,KS,Shelter in Place,3/28/20,4/28/20
Washington,PA,Shelter in Place,3/28/20,4/30/20
Hamilton,NE,Shelter in Place,3/28/20,5/6/20
Centre,PA,Shelter in Place,3/28/20,4/30/20
Stonewall,TX,Shelter in Place,3/28/20,4/18/20
Tyler,TX,Shelter in Place,3/28/20,4/30/20
Jefferson,KS,Shelter in Place,3/28/20,4/14/20
Gwinnett,GA,Shelter in Place,3/28/20,4/13/20
Cole,MO,Shelter in Place,3/28/20,4/25/20
Lincoln,MO,Shelter in Place,3/29/20,4/6/20
Madison,NE,Shelter in Place,3/29/20,5/6/20
Durham,NC,Shelter in Place,3/29/20,
Cuming,NE,Shelter in Place,3/29/20,5/6/20
Box Butte,NE,Shelter in Place,3/30/20,5/11/20
Grant,NE,Shelter in Place,3/30/20,5/11/20
San Patricio,TX,Shelter in Place,3/30/20,5/4/20
Harrison,MO,Shelter in Place,3/30/20,
Bates,MO,Shelter in Place,3/30/20,4/24/20
Schuylkill,PA,Shelter in Place,3/30/20,4/30/20
Scotts Bluff,NE,Shelter in Place,3/30/20,5/11/20
Deuel,NE,Shelter in Place,3/30/20,5/11/20
Sheridan,NE,Shelter in Place,3/30/20,5/11/20
Dawes,NE,Shelter in Place,3/30/20,5/11/20
Palm Beach,FL,Shelter in Place,3/30/20,
Nacogdoches,TX,Shelter in Place,3/30/20,
Cheyenne,NE,Shelter in Place,3/30/20,5/11/20
Reno,KS,Shelter in Place,3/30/20,4/14/20
Newton,TX,Shelter in Place,3/30/20,4/30/20
Potter,TX,Shelter in Place,3/30/20,
Harlan,NE,Shelter in Place,3/31/20,5/11/20
Caldwell,TX,Shelter in Place,3/31/20,4/8/20
Sabine,TX,Shelter in Place,3/31/20,4/30/20
Forest,PA,Shelter in Place,3/31/20,4/30/20
Hale,TX,Shelter in Place,3/31/20,4/30/20
Hockley,TX,Shelter in Place,3/31/20,4/30/20
Gasconade,MO,Shelter in Place,3/31/20,4/16/20
Jeff Davis,TX,Shelter in Place,3/31/20,4/30/20
Taylor,TX,Shelter in Place,3/31/20,4/30/20
Brewster,TX,Shelter in Place,3/31/20,4/30/20
Adams,NE,Shelter in Place,3/31/20,5/11/20
Nuckolls,NE,Shelter in Place,3/31/20,5/11/20
Maverick,TX,Shelter in Place,3/31/20,
Franklin,NE,Shelter in Place,3/31/20,5/11/20
Marion,TX,Shelter in Place,3/31/20,4/30/20
Lebanon,PA,Shelter in Place,3/31/20,4/30/20
Antelope,NE,Shelter in Place,4/1/20,5/11/20
Zapata,TX,Shelter in Place,4/1/20,5/11/20
Rock,NE,Shelter in Place,4/1/20,5/11/20
Fulton,GA,Shelter in Place,4/1/20,
Refugio,TX,Shelter in Place,4/1/20,4/30/20
Thomas,NE,Shelter in Place,4/1/20,5/11/20
Young,TX,Shelter in Place,4/1/20,5/1/20
Boyd,NE,Shelter in Place,4/1/20,5/11/20
Fulton,GA,Entertainment,4/1/20,4/30/20
Fulton,GA,Non-Essential Businesses,4/1/20,4/30/20
Lampasas,TX,Shelter in Place,4/1/20,4/21/20
Imperial,CA,Shelter in Place,4/1/20,
Fulton,GA,Outdoor and Recreation,4/1/20,4/30/20
Wasatch,UT,Shelter in Place,4/1/20,4/14/20
Clayton,GA,Shelter in Place,4/1/20,4/12/20
Fulton,GA,Food and Drink,4/1/20,4/30/20
Holt,NE,Shelter in Place,4/1/20,5/11/20
Arthur,NE,Shelter in Place,4/1/20,5/11/20
McPherson,NE,Shelter in Place,4/1/20,5/11/20
Wood,TX,Shelter in Place,4/1/20,
Lincoln,NE,Shelter in Place,4/1/20,5/11/20
Anderson,TX,Shelter in Place,4/2/20,
Limestone,TX,Shelter in Place,4/2/20,4/30/20
Pecos,TX,Shelter in Place,4/2/20,
Thayer,NE,Shelter in Place,4/3/20,5/11/20
Frontier,NE,Shelter in Place,4/3/20,5/11/20
Warren,MS,Shelter in Place,4/3/20,4/20/20
Gage,NE,Shelter in Place,4/3/20,5/11/20
Comal,TX,Shelter in Place,4/3/20,4/30/20
Colfax,NE,Shelter in Place,4/3/20,5/11/20
Dakota,NE,Shelter in Place,4/3/20,5/11/20
Wayne,NE,Shelter in Place,4/3/20,5/11/20
Perkins,NE,Shelter in Place,4/3/20,5/11/20
Howard,NE,Shelter in Place,4/3/20,5/11/20
Red Willow,NE,Shelter in Place,4/3/20,5/11/20
Richardson,NE,Shelter in Place,4/3/20,5/11/20
Terry,TX,Shelter in Place,4/3/20,
Sherman,NE,Shelter in Place,4/3/20,5/11/20
Furnas,NE,Shelter in Place,4/3/20,5/11/20
Calhoun,TX,Shelter in Place,4/3/20,4/30/20
Chase,NE,Shelter in Place,4/3/20,5/11/20
Hayes,NE,Shelter in Place,4/3/20,5/11/20
Hitchcock,NE,Shelter in Place,4/3/20,5/11/20
Johnson,NE,Shelter in Place,4/3/20,5/11/20
Greeley,NE,Shelter in Place,4/3/20,5/11/20
Wheeler,NE,Shelter in Place,4/3/20,5/11/20
Blaine,NE,Shelter in Place,4/3/20,5/11/20
Dixon,NE,Shelter in Place,4/3/20,5/11/20
Platte,NE,Shelter in Place,4/3/20,5/11/20
St. Francois,MO,Shelter in Place,4/3/20,
Otoe,NE,Shelter in Place,4/3/20,5/11/20
Valley,NE,Shelter in Place,4/3/20,5/11/20
Andrews,TX,Shelter in Place,4/4/20,4/22/20
St. Lucie,FL,Shelter in Place,4/4/20,4/24/20
Scott,MO,Shelter in Place,4/4/20,
Jefferson,WV,Shelter in Place,4/6/20,
Hopkins,TX,Shelter in Place,4/6/20,4/30/20
McDonald,MO,Shelter in Place,4/6/20,4/30/20
Henderson,TX,Shelter in Place,4/7/20,4/30/20
Reynolds,MO,Shelter in Place,4/7/20,
Armstrong,TX,Shelter in Place,4/7/20,
Callahan,TX,Shelter in Place,4/8/20,5/4/20
Colusa,CA,Shelter in Place,4/10/20,5/8/20
Nevada,CA,Shelter in Place,4/15/20,5/15/20
Denton,TX,New Phase,4/27/20,
Jackson,MO,Personal Care,5/11/20,5/31/20
Jackson,MO,Phase 1,5/11/20,5/31/20
Oxford,ME,Non-Essential Businesses,5/11/20,
Knox,ME,Non-Essential Businesses,5/11/20,
Hancock,ME,Non-Essential Businesses,5/11/20,
Jackson,MO,Childcare (K-12),5/11/20,5/31/20
Lake,IN,Phase 2,5/11/20,6/1/20
Aroostook,ME,Non-Essential Businesses,5/11/20,
Jackson,MO,New Phase,5/11/20,5/25/20
Franklin,ME,Non-Essential Businesses,5/11/20,
Jackson,MO,Houses of Worship,5/11/20,5/31/20
Lincoln,ME,Non-Essential Businesses,5/11/20,
Dane,WI,Shelter in Place,5/13/20,
Ventura,CA,Shelter in Place,11/16/20,5/15/20
Lane,OR,Outdoor and Recreation,5/15/20,
Lane,OR,Food and Drink,5/15/20,
Broward,FL,Personal Care,5/18/20,
Hancock,ME,Outdoor and Recreation,5/18/20,
Hancock,ME,Food and Drink,5/18/20,
Lincoln,ME,Food and Drink,5/18/20,
Oxford,ME,Food and Drink,5/18/20,
Aroostook,ME,Food and Drink,5/18/20,
Franklin,ME,Food and Drink,5/18/20,
Knox,ME,Food and Drink,5/18/20,
Franklin,ME,Outdoor and Recreation,5/18/20,
Alameda,CA,Food and Drink,5/18/20,
Lincoln,ME,Outdoor and Recreation,5/18/20,
Alameda,CA,Entertainment,5/18/20,
Aroostook,ME,Outdoor and Recreation,5/18/20,
Oxford,ME,Outdoor and Recreation,5/18/20,
Knox,ME,Outdoor and Recreation,5/18/20,
Alameda,CA,Outdoor and Recreation,5/18/20,
Bexar,TX,Non-Essential Businesses,5/19/20,6/4/20
Bexar,TX,Outdoor and Recreation,5/19/20,6/4/20
Bexar,TX,Shelter in Place,5/19/20,6/4/20
Bexar,TX,Entertainment,5/19/20,6/4/20
Bexar,TX,Food and Drink,5/19/20,6/4/20
Clackamas,OR,Outdoor and Recreation,5/23/20,
Clackamas,OR,Non-Essential Businesses,5/23/20,
Clackamas,OR,Food and Drink,5/23/20,
Dane,WI,Non-Essential Businesses,5/26/20,
Dane,WI,Entertainment,5/26/20,
Dane,WI,Food and Drink,5/26/20,
Dane,WI,Outdoor and Recreation,5/26/20,
Alameda,CA,Non-Essential Businesses,5/29/20,
Alameda,CA,Shelter in Place,5/29/20,5/31/20
York,ME,Non-Essential Businesses,6/1/20,
Penobscot,ME,Food and Drink,6/1/20,
Lake,IN,Phase 3,6/1/20,6/13/20
York,ME,Food and Drink,6/1/20,
Jackson,MO,Phase 2,6/1/20,
Penobscot,ME,Non-Essential Businesses,6/1/20,
Benton,OR,Food and Drink,6/5/20,
Benton,OR,Outdoor and Recreation,6/5/20,
Denver,CO,Phase 2,6/6/20,
Baker,OR,Houses of Worship,6/6/20,
Baker,OR,New Phase,6/6/20,
Kings,NY,New Phase,6/8/20,
Queens,NY,New Phase,6/8/20,
New York,NY,Construction,6/8/20,
Bronx,NY,New Phase,6/8/20,
Queens,NY,Manufacturing,6/8/20,
New York,NY,Manufacturing,6/8/20,
Richmond,NY,Manufacturing,6/8/20,
Queens,NY,Construction,6/8/20,
Bronx,NY,Manufacturing,6/8/20,
Richmond,NY,New Phase,6/8/20,
Kings,NY,Manufacturing,6/8/20,
Bronx,NY,Construction,6/8/20,
New York,NY,New Phase,6/8/20,
Columbia,PA,Phase 2,6/12/20,
Carbon,PA,Phase 2,6/12/20,
Beaver,PA,Phase 2,6/12/20,
Kane,UT,Phase 4,6/12/20,6/26/20
Cumberland,PA,Phase 2,6/12/20,
Union,PA,Phase 2,6/12/20,
Bear Lake,ID,Food and Drink,6/13/20,
Bear Lake,ID,Entertainment,6/13/20,
Bear Lake,ID,Outdoor and Recreation,6/13/20,
Adams,ID,Non-Essential Businesses,6/13/20,
Adams,ID,Phase 4,6/13/20,
Adams,ID,Outdoor and Recreation,6/13/20,
Adams,ID,Food and Drink,6/13/20,
Bear Lake,ID,Non-Essential Businesses,6/13/20,
Bear Lake,ID,Phase 4,6/13/20,
Adams,ID,Entertainment,6/13/20,
Merrimack,NH,Food and Drink,6/15/20,
Sullivan,NH,Food and Drink,6/15/20,
Belknap,NH,Food and Drink,6/15/20,
Grafton,NH,Food and Drink,6/15/20,
Cheshire,NH,Food and Drink,6/15/20,
Hillsborough,NH,Food and Drink,6/15/20,
Rockingham,NH,Food and Drink,6/15/20,
Cattaraugus,NY,Phase 3,6/16/20,6/30/20
Allegany,NY,Phase 3,6/16/20,6/30/20
York,ME,Outdoor and Recreation,6/17/20,
Franklin,PA,Phase 2,6/19/20,
Monroe,PA,Phase 2,6/19/20,
Uintah,UT,Phase 4,6/19/20,
Beaver,UT,Phase 4,6/19/20,
Perry,PA,Phase 2,6/19/20,
Duchesne,UT,Phase 4,6/19/20,
Luzerne,PA,Phase 2,6/19/20,
Pike,PA,Phase 2,6/19/20,
Dauphin,PA,Phase 2,6/19/20,
Ada,ID,Food and Drink,6/24/20,
LaSalle,IL,Food and Drink,6/26/20,
Lancaster,PA,Phase 2,6/26/20,
LaSalle,IL,Phase 4,6/26/20,
Montgomery,PA,Phase 2,6/26/20,
Bucks,PA,Phase 2,6/26/20,
Lackawanna,PA,Phase 2,6/26/20,
LaSalle,IL,Outdoor and Recreation,6/26/20,
Salt Lake,UT,Phase 3,6/26/20,
Northampton,PA,Phase 2,6/26/20,
LaSalle,IL,Non-Essential Businesses,6/26/20,
LaSalle,IL,Entertainment,6/26/20,
Summit,UT,Phase 3,6/27/20,
Wyandotte,KS,Mask Mandate,6/30/20,
Palm Beach,FL,Non-Essential Businesses,7/3/20,7/5/20
Edwards,TX,Mask Mandate,7/3/20,
Irion,TX,Mask Mandate,7/3/20,
Runnels,TX,Mask Mandate,7/3/20,
Fisher,TX,Mask Mandate,7/3/20,
Throckmorton,TX,Mask Mandate,7/3/20,
Rains,TX,Mask Mandate,7/3/20,
Mills,TX,Mask Mandate,7/3/20,
Lynn,TX,Mask Mandate,7/3/20,
Coke,TX,Mask Mandate,7/3/20,
Cottle,TX,Mask Mandate,7/3/20,
Cochran,TX,Mask Mandate,7/3/20,
Yoakum,TX,Mask Mandate,7/3/20,
Terrell,TX,Mask Mandate,7/3/20,
Real,TX,Mask Mandate,7/3/20,
Schleicher,TX,Mask Mandate,7/3/20,
Upton,TX,Mask Mandate,7/3/20,
Glasscock,TX,Mask Mandate,7/3/20,
Knox,TX,Mask Mandate,7/3/20,
Briscoe,TX,Mask Mandate,7/3/20,
Montague,TX,Mask Mandate,7/3/20,
Coleman,TX,Mask Mandate,7/3/20,
Foard,TX,Mask Mandate,7/3/20,
Palm Beach,FL,Outdoor and Recreation,7/3/20,7/5/20
Kinney,TX,Mask Mandate,7/3/20,
Archer,TX,Mask Mandate,7/3/20,
Wilbarger,TX,Mask Mandate,7/3/20,
Hansford,TX,Mask Mandate,7/3/20,
Palm Beach,FL,Food and Drink,7/3/20,7/5/20
King,TX,Mask Mandate,7/3/20,
Gray,TX,Mask Mandate,7/3/20,
Crosby,TX,Mask Mandate,7/3/20,
Martin,TX,Mask Mandate,7/3/20,
Sterling,TX,Mask Mandate,7/3/20,
Eastland,TX,Mask Mandate,7/3/20,
Haskell,TX,Mask Mandate,7/3/20,
Kent,TX,Mask Mandate,7/3/20,
Dickens,TX,Mask Mandate,7/3/20,
Hudspeth,TX,Mask Mandate,7/3/20,
Mason,TX,Mask Mandate,7/3/20,
Ochiltree,TX,Mask Mandate,7/3/20,
Red River,TX,Mask Mandate,7/3/20,
Grand,UT,Phase 3,7/3/20,
Bronx,NY,Phase 3,7/6/20,
Queens,NY,Phase 3,7/6/20,
Kings,NY,Phase 3,7/6/20,
New York,NY,Phase 3,7/6/20,
Hamilton,OH,Mask Mandate,7/8/20,
Cumberland,ME,Mask Mandate,7/8/20,
Trumbull,OH,Mask Mandate,7/8/20,
Cuyahoga,OH,Mask Mandate,7/8/20,
Sagadahoc,ME,Mask Mandate,7/8/20,
Waldo,ME,Mask Mandate,7/8/20,
Franklin,OH,Mask Mandate,7/8/20,
Miami-Dade,FL,Personal Care,7/9/20,
Miami-Dade,FL,Mask Mandate,7/9/20,
Fairfield,OH,Mask Mandate,7/10/20,
Wood,OH,Mask Mandate,7/10/20,
Pickaway,OH,Mask Mandate,7/10/20,
Clermont,OH,Mask Mandate,7/10/20,
Summit,OH,Mask Mandate,7/10/20,
Quitman,MS,Manufacturing,7/13/20,7/20/20
Wayne,MS,Day Care,7/13/20,7/20/20
Jefferson,MS,Day Care,7/13/20,7/20/20
Sunflower,MS,Non-Essential Businesses,7/13/20,7/20/20
Harrison,MS,Manufacturing,7/13/20,7/20/20
Jackson,MS,Day Care,7/13/20,7/20/20
Washington,MS,Food and Drink,7/13/20,7/20/20
Washington,MS,Outdoor and Recreation,7/13/20,7/20/20
Jackson,MS,Childcare (K-12),7/13/20,7/20/20
Harrison,MS,Childcare (K-12),7/13/20,7/20/20
DeSoto,MS,Non-Essential Businesses,7/13/20,7/20/20
Quitman,MS,Houses of Worship,7/13/20,7/20/20
Madison,MS,Non-Essential Businesses,7/13/20,7/20/20
Harrison,MS,Houses of Worship,7/13/20,7/20/20
Rankin,MS,Outdoor and Recreation,7/13/20,7/20/20
Rankin,MS,Food and Drink,7/13/20,7/20/20
DeSoto,MS,Food and Drink,7/13/20,7/20/20
Sunflower,MS,Outdoor and Recreation,7/13/20,7/20/20
Hinds,MS,Manufacturing,7/13/20,7/20/20
Madison,MS,Food and Drink,7/13/20,7/20/20
Harrison,MS,Day Care,7/13/20,7/20/20
Madison,MS,Outdoor and Recreation,7/13/20,7/20/20
Sunflower,MS,Entertainment,7/13/20,7/20/20
Grenada,MS,Manufacturing,7/13/20,7/20/20
Quitman,MS,Day Care,7/13/20,7/20/20
Grenada,MS,Houses of Worship,7/13/20,7/20/20
Wayne,MS,Houses of Worship,7/13/20,7/20/20
Hinds,MS,Childcare (K-12),7/13/20,7/20/20
Claiborne,MS,Manufacturing,7/13/20,7/20/20
Grenada,MS,Childcare (K-12),7/13/20,7/20/20
Jackson,MS,Houses of Worship,7/13/20,7/20/20
Claiborne,MS,Houses of Worship,7/13/20,7/20/20
Jefferson,MS,Childcare (K-12),7/13/20,7/20/20
Claiborne,MS,Day Care,7/13/20,7/20/20
Quitman,MS,Childcare (K-12),7/13/20,7/20/20
Rankin,MS,Non-Essential Businesses,7/13/20,7/20/20
Wayne,MS,Manufacturing,7/13/20,7/20/20
Washington,MS,Entertainment,7/13/20,7/20/20
Hinds,MS,Day Care,7/13/20,7/20/20
Madison,MS,Entertainment,7/13/20,7/20/20
Hinds,MS,Houses of Worship,7/13/20,7/20/20
Wayne,MS,Childcare (K-12),7/13/20,7/20/20
Rankin,MS,Entertainment,7/13/20,7/20/20
Grenada,MS,Day Care,7/13/20,7/20/20
DeSoto,MS,Entertainment,7/13/20,7/20/20
Washington,MS,Non-Essential Businesses,7/13/20,7/20/20
Claiborne,MS,Childcare (K-12),7/13/20,7/20/20
Sunflower,MS,Food and Drink,7/13/20,7/20/20
Jefferson,MS,Houses of Worship,7/13/20,7/20/20
Jackson,MS,Manufacturing,7/13/20,7/20/20
DeSoto,MS,Outdoor and Recreation,7/13/20,7/20/20
Jefferson,MS,Manufacturing,7/13/20,7/20/20
Montgomery,OH,Mask Mandate,7/16/20,
Scioto,OH,Mask Mandate,7/17/20,
Salt Lake,UT,Phase 2,7/17/20,8/7/20
Athens,OH,Mask Mandate,7/17/20,
Denver,CO,Mask Mandate,7/21/20,
Marion,OH,Public Health Advisory System,7/23/20,
Lorain,OH,Public Health Advisory System,7/23/20,
Delaware,OH,Public Health Advisory System,7/23/20,
Union,OH,Public Health Advisory System,7/23/20,
Licking,OH,Public Health Advisory System,7/23/20,
Lucas,OH,Public Health Advisory System,7/23/20,
Butler,OH,Public Health Advisory System,7/23/20,
Clark,OH,Public Health Advisory System,7/23/20,
Erie,OH,Public Health Advisory System,7/23/20,
Richland,OH,Public Health Advisory System,7/23/20,
Defiance,OH,Public Health Advisory System,7/23/20,
Allen,OH,Public Health Advisory System,7/23/20,
Winston,MS,Phase 3,7/25/20,8/3/20
Holmes,MS,Phase 3,7/25/20,8/3/20
Yalobusha,MS,Phase 3,7/25/20,8/3/20
Calhoun,MS,Phase 3,7/25/20,8/3/20
Delta,MI,Entertainment,7/31/20,
Benzie,MI,Entertainment,7/31/20,
Baraga,MI,Entertainment,7/31/20,
Houghton,MI,Entertainment,7/31/20,
Delta,MI,Outdoor and Recreation,7/31/20,
Charlevoix,MI,Outdoor and Recreation,7/31/20,
Manistee,MI,Outdoor and Recreation,7/31/20,
Marquette,MI,Entertainment,7/31/20,
Charlevoix,MI,Entertainment,7/31/20,
Schoolcraft,MI,Outdoor and Recreation,7/31/20,
Alger,MI,Entertainment,7/31/20,
Leelanau,MI,Outdoor and Recreation,7/31/20,
Emmet,MI,Entertainment,7/31/20,
Chippewa,MI,Outdoor and Recreation,7/31/20,
Dickinson,MI,Outdoor and Recreation,7/31/20,
Emmet,MI,Outdoor and Recreation,7/31/20,
Benzie,MI,Outdoor and Recreation,7/31/20,
Roscommon,MI,Outdoor and Recreation,7/31/20,
Missaukee,MI,Outdoor and Recreation,7/31/20,
Baraga,MI,Outdoor and Recreation,7/31/20,
Manistee,MI,Entertainment,7/31/20,
Chippewa,MI,Entertainment,7/31/20,
Leelanau,MI,Entertainment,7/31/20,
Umatilla,OR,Shelter in Place,7/31/20,8/21/20
Houghton,MI,Outdoor and Recreation,7/31/20,
Kalkaska,MI,Outdoor and Recreation,7/31/20,
Roscommon,MI,Entertainment,7/31/20,
Otsego,MI,Outdoor and Recreation,7/31/20,
Alger,MI,Outdoor and Recreation,7/31/20,
Crawford,MI,Entertainment,7/31/20,
Otsego,MI,Entertainment,7/31/20,
Kalkaska,MI,Entertainment,7/31/20,
Crawford,MI,Outdoor and Recreation,7/31/20,
